// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\obj\Release\net8.0/" /p:OutDir="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" /p:OutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" in F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748
// command took 1.45 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\obj\Release\net8.0/" /p:OutDir="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" /p:OutputPath="F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" --output "F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748\bin\Release\net8.0/" in F:\Rider\LfuCache\LfuCache\bin\Release\net8.0\7cb28bf7-b029-408f-ae61-4549d12a0748
// command took 5.23 sec and exited with 0
// ***** Done, took 00:00:06 (6.76 sec)   *****
// Found 2 benchmarks:
//   LfuBenchMarks.ElementInsertIntoFull: Job-VHXZHM(InvocationCount=1, UnrollFactor=1)
//   LfuBenchMarks.Dictionary: Job-VHXZHM(InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: Высокая производительность)
LfuBenchMarks.ElementInsertIntoFull: Job-VHXZHM(InvocationCount=1, UnrollFactor=1)
Runtime = .NET 8.0.7 (8.0.724.31311), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 1.700 μs, StdErr = 0.000 μs (0.00%), N = 13, StdDev = 0.000 μs
Min = 1.700 μs, Q1 = 1.700 μs, Median = 1.700 μs, Q3 = 1.700 μs, Max = 1.700 μs
IQR = 0.000 μs, LowerFence = 1.700 μs, UpperFence = 1.700 μs
ConfidenceInterval = [1.700 μs; 1.700 μs] (CI 99.9%), Margin = 0.000 μs (0.00% of Mean)
Skewness = NaN, Kurtosis = NaN, MValue = 2
-------------------- Histogram --------------------
[1.700 μs ; 1.700 μs) | @@@@@@@@@@@@@
---------------------------------------------------

LfuBenchMarks.Dictionary: Job-VHXZHM(InvocationCount=1, UnrollFactor=1)
Runtime = .NET 8.0.7 (8.0.724.31311), X64 RyuJIT AVX2; GC = Concurrent Workstation
Mean = 1.390 μs, StdErr = 0.029 μs (2.07%), N = 89, StdDev = 0.271 μs
Min = 1.000 μs, Q1 = 1.200 μs, Median = 1.300 μs, Q3 = 1.600 μs, Max = 2.300 μs
IQR = 0.400 μs, LowerFence = 0.600 μs, UpperFence = 2.200 μs
ConfidenceInterval = [1.292 μs; 1.488 μs] (CI 99.9%), Margin = 0.098 μs (7.05% of Mean)
Skewness = 1.04, Kurtosis = 3.33, MValue = 2.48
-------------------- Histogram --------------------
[0.970 μs ; 1.130 μs) | @@@@@@@@@@
[1.130 μs ; 1.330 μs) | @@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
[1.330 μs ; 1.530 μs) | @@@@@@@@@@@@@@
[1.530 μs ; 1.670 μs) | @@@
[1.670 μs ; 1.830 μs) | @@@@@@@@@@@@@
[1.830 μs ; 2.020 μs) | @@@@@
[2.020 μs ; 2.220 μs) | @
[2.220 μs ; 2.380 μs) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet v0.14.0, Windows 10 (10.0.19045.4894/22H2/2022Update)
AMD Ryzen 5 5500U with Radeon Graphics, 1 CPU, 12 logical and 6 physical cores
.NET SDK 8.0.303
  [Host]     : .NET 8.0.7 (8.0.724.31311), X64 RyuJIT AVX2
  Job-VHXZHM : .NET 8.0.7 (8.0.724.31311), X64 RyuJIT AVX2

InvocationCount=1  UnrollFactor=1  

| Method                | Mean     | Error     | StdDev    | Median   | Allocated |
|---------------------- |---------:|----------:|----------:|---------:|----------:|
| ElementInsertIntoFull | 1.700 μs | 0.0000 μs | 0.0000 μs | 1.700 μs |     592 B |
| Dictionary            | 1.390 μs | 0.0979 μs | 0.2714 μs | 1.300 μs |     512 B |

// * Warnings *
MinIterationTime
  LfuBenchMarks.ElementInsertIntoFull: InvocationCount=1, UnrollFactor=1 -> The minimum observed iteration time is 1.8μs which is very small. It's recommended to increase it to at least 100ms using more operations.
  LfuBenchMarks.Dictionary: InvocationCount=1, UnrollFactor=1            -> The minimum observed iteration time is 1.2μs which is very small. It's recommended to increase it to at least 100ms using more operations.

// * Hints *
Outliers
  LfuBenchMarks.ElementInsertIntoFull: InvocationCount=1, UnrollFactor=1 -> 4 outliers were removed (1.90 μs..3.30 μs)
  LfuBenchMarks.Dictionary: InvocationCount=1, UnrollFactor=1            -> 11 outliers were removed (2.70 μs..5.00 μs)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Median    : Value separating the higher half of all measurements (50th percentile)
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 μs      : 1 Microsecond (0.000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
Run time: 00:00:00 (0.65 sec), executed benchmarks: 2

Global total time: 00:00:07 (7.8 sec), executed benchmarks: 2
// * Artifacts cleanup *
Artifacts cleanup is finished
